movie Name,year,duration,genre,imdb_rating
Tasokare Hotel,2025,24m,"Animation, Fantasy, and more",7.1
Ghost Show,2024,22m,"Comedy, Mystery",7.3
Tarzan: The Epic Adventures,1996,45m,"Action, Drama, and more",6.1
Zatoichi Monogatari,1974,45m,"Action, Adventure, and more",7.9
Hunter,1984,60m,"Action, Drama, and more",6.9
Top Million Dollar Agent,2015,27m,Reality,5.1
Wiseguy,1987,60m,"Crime, Drama, and more",7.8
Pee-wee's Playhouse,1986,30m,"Comedy, Family, and more",8.2
Burb Patrol,2021,11m,Comedy,6.0
Farscape,1999,60m,"Adventure, Drama, and more",8.3
